date cpi_annl stock_ret bond_ret
1793 7.3% -7.64% -7.24%
1794 12.8% 19.81% 15.32%
1795 9.5% 9.90% -1.03%
1796 0.6% -3.50% -6.10%
1797 -3.5% 13.33% 15.46%
1798 -1.7% 8.50% 3.23%
1799 1.0% 6.10% 5.62%
1800 1.7% 13.64% 18.78%
1801 -7.3% 13.22% 15.00%
1802 -6.0% 14.21% 5.51%
1803 4.9% 4.32% 2.63%
1804 1.8% 0.31% 1.01%
1805 1.8% 0.30% 6.06%
1806 -0.7% 10.63% 11.41%
1807 1.4% 0.50% 4.77%
1808 3.1% 14.74% 10.06%
1809 -1.0% 7.49% 5.20%
1810 3.4% -2.11% 3.94%
1811 3.9% 2.82% -1.49%
1812 10.7% 10.30% 3.26%
1813 14.5% 7.38% -2.76%
1814 -1.7% -7.44% -0.17%
1815 -10.6% 12.89% 14.68%
1816 -7.1% 4.73% 9.65%
1817 -4.9% 24.84% 15.66%
1818 -2.2% -13.71% -0.12%
1819 -3.9% -5.16% 8.69%
1820 -5.8% 6.40% 10.41%
1821 0.0% 11.89% 6.38%
1822 -3.6% -3.96% 2.84%
1823 -9.3% 7.25% 5.85%
1824 -2.9% 14.34% 7.85%
1825 1.3% 2.30% 0.60%
1826 0.4% 5.30% 5.49%
1827 -2.1% 3.94% 6.13%
1828 -3.4% 4.14% 3.02%
1829 -1.4% 5.12% 6.74%
1830 -3.6% 12.40% 6.01%
1831 -3.7% 4.92% 8.61%
1832 -1.4% 1.52% 6.10%
1833 0.0% 1.14% -0.82%
1834 2.4% 10.20% 8.60%
1835 4.3% 10.86% 1.13%
1836 4.2% 2.11% 1.68%
1837 0.0% -2.49% 8.03%
1838 -1.4% 8.79% 3.85%
1839 -3.5% -15.42% -6.39%
1840 -3.2% -4.61% 4.47%
1841 -2.9% -29.84% -22.88%
1842 -7.9% -5.47% -6.96%
1843 -4.3% 38.25% 49.92%
1844 1.1% 9.86% 6.47%
1845 1.1% 6.24% 1.90%
1846 4.4% 4.56% 8.28%
1847 1.6% 5.31% 3.30%
1848 -3.6% -0.41% 21.26%
1849 -0.5% 2.99% 14.32%
1850 0.0% 21.99% 10.99%
1851 -0.5% -3.53% 3.93%
1852 0.5% 19.66% 11.40%
1853 4.3% -9.54% 4.00%
1854 5.7% -11.27% -1.57%
1855 0.5% -1.74% 9.10%
1856 0.5% 13.85% 7.98%
1857 -1.4% -13.78% 4.04%
1858 -2.4% 10.87% 10.83%
1859 0.5% 0.86% 4.71%
1860 3.0% 17.95% 2.23%
1861 10.2% 4.27% 5.79%
1862 19.8% 70.71% 19.99%
1863 25.0% 26.90% 7.97%
1864 13.2% 5.76% 6.77%
1865 0.5% 4.29% 1.61%
1866 -4.7% 5.56% 10.01%
1867 -5.4% 11.01% 8.52%
1868 -4.0% 21.93% 6.43%
1869 -4.2% 2.37% 7.61%
1870 -5.3% 1.23% 6.32%
1871 -3.3% 16.53% 8.27%
1872 -1.0% 15.77% 6.59%
1873 -3.4% -5.17% 6.98%
1874 -4.2% 3.99% 10.14%
1875 -3.0% 5.95% 9.89%
1876 -2.3% -11.55% 5.42%
1877 -3.5% -0.78% 4.42%
1878 -2.4% 14.76% 7.59%
1879 1.2% 45.70% 8.55%
1880 1.2% 25.87% 12.16%
1881 0.0% 0.54% 5.93%
1882 -1.0% 2.14% 4.88%
1883 -2.0% -8.54% 6.27%
1884 -2.0% -13.66% 4.72%
1885 -2.1% 28.45% 7.40%
1886 -0.5% 10.31% 5.06%
1887 0.5% -2.16% 4.00%
1888 -1.6% 1.88% 6.63%
1889 -2.2% 7.99% 4.43%
1890 -0.6% -5.25% 2.00%
1891 0.0% 16.26% 5.34%
1892 -0.6% 5.31% 4.29%
1893 -2.7% -18.47% 4.76%
1894 -3.4% 2.64% 6.47%
1895 -1.2% 5.35% 3.39%
1896 -0.6% 0.53% 5.92%
1897 -0.6% 20.29% 10.97%
1898 0.0% 29.81% 11.28%
1899 0.6% 4.06% 2.91%
1900 1.2% 20.68% 7.54%
1901 1.2% 19.23% 5.29%
1902 1.7% 8.30% 2.00%
1903 1.7% -17.20% 0.85%
1904 0.0% 31.53% 12.08%
1905 0.5% 21.73% 4.04%
1906 3.4% 0.61% 0.62%
1907 1.1% -24.42% -3.92%
1908 -1.6% 39.20% 12.33%
1909 1.6% 17.00% 3.43%
1910 2.2% -3.81% 3.10%
1911 1.0% 3.52% 4.32%
1912 2.1% 7.08% 2.68%
1913 2.0% -4.89% 1.00%
1914 1.0% -5.77% 1.42%
1915 3.0% 31.44% 7.73%
1916 12.5% 9.21% 5.96%
1917 19.7% -17.38% -9.49%
1918 17.9% 16.93% 7.92%
1919 17.0% 19.05% -2.51%
1920 -1.6% -14.26% 4.66%
1921 -11.1% 9.28% 16.37%
1922 -0.6% 29.29% 8.15%
1923 3.0% 5.46% 3.93%
1924 0.0% 26.87% 8.45%
1925 3.5% 25.79% 8.08%
